day_num,value,day
-0.18432,16.05863,2022-07-12 19:34:34.752000000
-0.22075,15.7726,2022-07-12 18:42:07.200000000
-0.22075,15.55809,2022-07-12 18:42:07.200000000
-0.0386,16.52341,2022-07-12 23:04:24.960000000
-0.07503,16.20164,2022-07-12 22:11:57.408000000
-0.07503,15.98712,2022-07-12 22:11:57.408000000
0.03426,17.63174,2022-07-13 00:49:20.064000000
0.03426,17.34572,2022-07-13 00:49:20.064000000
0.03426,17.0597,2022-07-13 00:49:20.064000000
-0.00217,16.77368,2022-07-12 23:56:52.512000000
0.17998,17.77475,2022-07-13 04:19:10.272000000
0.17998,17.48873,2022-07-13 04:19:10.272000000
0.17998,17.23846,2022-07-13 04:19:10.272000000
0.14355,16.98819,2022-07-13 03:26:42.720000000
0.28927,17.34572,2022-07-13 06:56:32.928000000
0.3257,16.98819,2022-07-13 07:49:00.480000000
0.43499,16.77368,2022-07-13 10:26:23.136000000
0.47142,16.52341,2022-07-13 11:18:50.688000000
0.55643,16.24931,2022-07-13 13:21:15.552000000
0.69001,16.34465,2022-07-13 16:33:36.864000000
0.72644,16.05863,2022-07-13 17:26:04.416000000
0.83573,16.98819,2022-07-13 20:03:27.072000000
0.7993,16.63067,2022-07-13 19:10:59.520000000
0.7993,16.41615,2022-07-13 19:10:59.520000000
0.90859,17.27421,2022-07-13 21:48:22.176000000
1.05431,17.20271,2022-07-14 01:18:12.384000000
1.12717,16.88093,2022-07-14 03:03:07.488000000
1.27289,17.0597,2022-07-14 06:32:57.696000000
1.27289,16.84518,2022-07-14 06:32:57.696000000
1.41861,16.80943,2022-07-14 10:02:47.904000000
1.49148,16.55916,2022-07-14 11:47:43.872000000
1.60077,16.48766,2022-07-14 14:25:06.528000000
1.6372,16.23739,2022-07-14 15:17:34.080000000
1.74649,16.05863,2022-07-14 17:54:56.736000000
1.74649,15.7726,2022-07-14 17:54:56.736000000
1.74649,15.48658,2022-07-14 17:54:56.736000000
1.78292,15.27207,2022-07-14 18:47:24.287999999
1.92864,16.41615,2022-07-14 22:17:14.496000000
1.89221,16.05863,2022-07-14 21:24:46.944000000
1.89221,15.7726,2022-07-14 21:24:46.944000000
1.89221,15.48658,2022-07-14 21:24:46.944000000
1.89221,15.27207,2022-07-14 21:24:46.944000000
2.0015,17.0597,2022-07-15 00:02:09.600000000
1.96507,16.77368,2022-07-14 23:09:42.048000000
2.14722,16.84518,2022-07-15 03:31:59.808000000
2.11079,16.70217,2022-07-15 02:39:32.256000000
2.25651,16.77368,2022-07-15 06:09:22.464000000
2.29294,16.52341,2022-07-15 07:01:50.016000000
2.36581,16.27314,2022-07-15 08:46:45.984000000
2.51153,16.20164,2022-07-15 12:16:36.192000000
2.51153,15.91561,2022-07-15 12:16:36.192000000
2.65725,15.95137,2022-07-15 15:46:26.400000000
2.80297,16.23739,2022-07-15 19:16:16.608000000
2.76654,15.98712,2022-07-15 18:23:49.056000000
2.87583,16.52341,2022-07-15 21:01:11.712000000
2.94869,16.77368,2022-07-15 22:46:06.816000000
3.05798,16.91669,2022-07-16 01:23:29.472000000
3.09441,16.63067,2022-07-16 02:15:57.023999999
3.24014,16.77368,2022-07-16 05:45:48.096000000
3.24014,16.55916,2022-07-16 05:45:48.096000000
3.38586,16.41615,2022-07-16 09:15:38.304000000
3.45872,16.09438,2022-07-16 11:00:33.408000000
3.60444,15.98712,2022-07-16 14:30:23.616000000
3.6773,16.23739,2022-07-16 16:15:18.720000000
3.75016,16.77368,2022-07-16 18:00:13.824000000
3.75016,16.48766,2022-07-16 18:00:13.824000000
3.82302,16.16588,2022-07-16 19:45:08.928000000
3.98089,16.51149,2022-07-16 23:32:28.896000000
3.93231,16.20164,2022-07-16 22:22:31.584000000
4.11447,16.34465,2022-07-17 02:44:50.208000000
4.11447,16.13013,2022-07-17 02:44:50.208000000
4.26019,16.3804,2022-07-17 06:14:40.415999999
4.33305,15.98712,2022-07-17 07:59:35.520000000
4.36948,15.62959,2022-07-17 08:52:03.071999999
4.40591,15.37933,2022-07-17 09:44:30.624000000
4.55163,15.34357,2022-07-17 13:14:20.831999999
4.55163,15.12906,2022-07-17 13:14:20.831999999
4.66092,15.34357,2022-07-17 15:51:43.487999999
4.69735,15.09331,2022-07-17 16:44:11.040000000
4.77021,14.84304,2022-07-17 18:29:06.143999999
4.8795,15.62959,2022-07-17 21:06:28.800000000
4.91594,15.34357,2022-07-17 21:58:57.216000000
4.91594,15.05755,2022-07-17 21:58:57.216000000
4.91594,14.84304,2022-07-17 21:58:57.216000000
5.06166,15.45083,2022-07-18 01:28:47.424000000
5.20738,15.62959,2022-07-18 04:58:37.632000000
5.28024,15.41508,2022-07-18 06:43:32.736000000
5.38953,15.34357,2022-07-18 09:20:55.392000000
5.42596,15.0218,2022-07-18 10:13:22.944000000
5.57168,14.48551,2022-07-18 13:43:13.152000000
5.7174,14.41401,2022-07-18 17:13:03.360000000
5.79027,14.12799,2022-07-18 18:57:59.328000000
5.86313,14.41401,2022-07-18 20:42:54.432000000
5.93599,14.80728,2022-07-18 22:27:49.536000000
6.00885,15.12906,2022-07-19 00:12:44.640000000
6.08171,15.52234,2022-07-19 01:57:39.744000000
6.15457,15.7726,2022-07-19 03:42:34.848000000
6.30029,15.7011,2022-07-19 07:12:25.056000000
6.37315,15.41508,2022-07-19 08:57:20.160000000
6.48244,15.34357,2022-07-19 11:34:42.816000000
6.51887,15.09331,2022-07-19 12:27:10.368000000
6.6646,15.09331,2022-07-19 15:57:01.440000000
6.81032,15.16481,2022-07-19 19:26:51.648000000
6.88318,15.48658,2022-07-19 21:11:46.752000000
7.0289,15.95137,2022-07-20 00:41:36.960000000
6.99247,15.62959,2022-07-19 23:49:09.408000000
7.10176,16.20164,2022-07-20 02:26:32.064000000
7.17462,15.98712,2022-07-20 04:11:27.168000000
7.32034,15.84411,2022-07-20 07:41:17.376000000
7.46606,15.62959,2022-07-20 11:11:07.584000000
7.61179,15.7011,2022-07-20 14:40:58.655999999
7.61179,15.48658,2022-07-20 14:40:58.655999999
7.75751,15.37933,2022-07-20 18:10:48.864000000
7.72108,15.12906,2022-07-20 17:18:21.312000000
7.83037,15.66535,2022-07-20 19:55:43.968000000
7.90323,16.52341,2022-07-20 21:40:39.072000000
7.8668,16.20164,2022-07-20 20:48:11.520000000
7.8668,15.91561,2022-07-20 20:48:11.520000000
8.04895,17.34572,2022-07-21 01:10:29.280000000
8.01252,17.0597,2022-07-21 00:18:01.728000000
