day_num,value,day
-0.19845,7.63609,2022-07-12 19:14:13.920000001
-0.05044,7.63609,2022-07-12 22:47:21.984000000
0.02357,9.6254,2022-07-13 00:33:56.448000000
0.17157,9.6254,2022-07-13 04:07:03.648000000
0.31958,8.77284,2022-07-13 07:40:11.711999999
0.46759,7.63609,2022-07-13 11:13:19.776000000
0.6156,6.78352,2022-07-13 14:46:27.840000000
0.76361,7.92027,2022-07-13 18:19:35.904000000
0.91162,11.04633,2022-07-13 21:52:43.968000000
0.87462,9.05702,2022-07-13 20:59:27.168000000
1.05963,11.04633,2022-07-14 01:25:52.032000000
1.20764,9.34121,2022-07-14 04:59:00.096000000
1.35565,8.20446,2022-07-14 08:32:08.160000000
1.50366,7.06771,2022-07-14 12:05:16.224000000
1.65167,6.78352,2022-07-14 15:38:24.288000000
1.81201,6.40461,2022-07-14 19:29:17.664000000
1.94769,9.90958,2022-07-14 22:44:40.416000000
1.91068,7.92027,2022-07-14 21:51:22.752000000
2.0957,10.19377,2022-07-15 02:17:48.479999999
2.24371,9.05702,2022-07-15 05:50:56.544000000
2.39171,7.92027,2022-07-15 09:24:03.744000000
2.53972,7.92027,2022-07-15 12:57:11.808000000
2.68773,8.20446,2022-07-15 16:30:19.871999999
2.83574,9.90958,2022-07-15 20:03:27.936000000
2.98375,10.19377,2022-07-15 23:36:36.000000000
3.13176,10.19377,2022-07-16 03:09:44.063999999
3.27977,9.34121,2022-07-16 06:42:52.128000000
3.42778,8.20446,2022-07-16 10:16:00.192000000
3.57579,8.20446,2022-07-16 13:49:08.256000000
3.7238,9.34121,2022-07-16 17:22:16.320000000
3.87181,10.19377,2022-07-16 20:55:24.384000000
4.01982,10.19377,2022-07-17 00:28:32.448000000
4.16783,9.90958,2022-07-17 04:01:40.512000000
4.31584,8.20446,2022-07-17 07:34:48.576000000
4.46384,7.06771,2022-07-17 11:07:55.776000000
4.61185,6.78352,2022-07-17 14:41:03.840000000
4.75986,6.78352,2022-07-17 18:14:11.904000000
4.90787,7.63609,2022-07-17 21:47:19.968000000
5.05588,8.77284,2022-07-18 01:20:28.032000000
5.20389,8.20446,2022-07-18 04:53:36.096000000
5.3519,7.63609,2022-07-18 08:26:44.160000000
5.49991,6.21515,2022-07-18 11:59:52.224000000
5.64792,6.49934,2022-07-18 15:33:00.288000000
5.79593,6.49934,2022-07-18 19:06:08.352000000
5.94394,7.92027,2022-07-18 22:39:16.416000000
6.09195,9.05702,2022-07-19 02:12:24.480000000
6.23996,8.77284,2022-07-19 05:45:32.544000000
6.38797,7.63609,2022-07-19 09:18:40.608000000
6.53598,6.49934,2022-07-19 12:51:48.672000000
6.68398,5.64678,2022-07-19 16:24:55.872000000
6.83199,6.78352,2022-07-19 19:58:03.936000000
6.943,7.92027,2022-07-19 22:37:55.200000000
7.05401,10.47796,2022-07-20 01:17:46.464000000
7.20202,9.90958,2022-07-20 04:50:54.528000000
7.35003,8.77284,2022-07-20 08:24:02.592000000
7.49804,6.78352,2022-07-20 11:57:10.656000000
7.64605,7.3519,2022-07-20 15:30:18.720000000
7.79405,7.63609,2022-07-20 19:03:25.920000000
7.86806,9.90958,2022-07-20 20:50:00.384000000
7.94206,12.46727,2022-07-20 22:36:33.984000000
8.09007,14.17239,2022-07-21 02:09:42.048000000
8.23808,12.75146,2022-07-21 05:42:50.112000000
8.34909,11.89889,2022-07-21 08:22:41.376000000
8.38609,9.90958,2022-07-21 09:15:58.176000000
8.5341,9.05702,2022-07-21 12:49:06.240000000
8.68211,9.6254,2022-07-21 16:22:14.304000000
8.83012,9.05702,2022-07-21 19:55:22.368000000
8.90412,11.04633,2022-07-21 21:41:55.968000000
8.97813,13.31983,2022-07-21 23:28:30.432000000
9.12614,13.60402,2022-07-22 03:01:38.496000000
9.27415,13.31983,2022-07-22 06:34:46.560000000
9.38515,11.89889,2022-07-22 09:14:36.960000000
9.42216,9.90958,2022-07-22 10:07:54.624000000
9.57017,8.77284,2022-07-22 13:41:02.687999999
9.71818,9.05702,2022-07-22 17:14:10.752000000
9.86619,9.05702,2022-07-22 20:47:18.816000000
10.01419,10.76215,2022-07-23 00:20:26.016000000
10.1622,9.90958,2022-07-23 03:53:34.080000000
10.31021,9.6254,2022-07-23 07:26:42.144000000
10.45822,7.92027,2022-07-23 10:59:50.208000000
10.53223,5.36259,2022-07-23 12:46:24.672000000
10.68024,3.65747,2022-07-23 16:19:32.736000000
10.82825,3.37328,2022-07-23 19:52:40.800000000
10.97626,3.37328,2022-07-23 23:25:48.864000000
11.12426,3.37328,2022-07-24 02:58:56.064000000
11.27227,3.65747,2022-07-24 06:32:04.128000000
11.42028,4.51003,2022-07-24 10:05:12.192000000
11.56829,4.51003,2022-07-24 13:38:20.256000000
11.7163,4.51003,2022-07-24 17:11:28.320000000
11.86431,5.36259,2022-07-24 20:44:36.384000000
12.01232,5.64678,2022-07-25 00:17:44.448000000
12.16033,5.93096,2022-07-25 03:50:52.512000000
12.30834,6.78352,2022-07-25 07:24:00.576000000
12.45635,6.78352,2022-07-25 10:57:08.640000000
12.60436,7.06771,2022-07-25 14:30:16.704000000
12.75237,8.20446,2022-07-25 18:03:24.768000000
12.90038,9.05702,2022-07-25 21:36:32.832000000
13.04839,9.90958,2022-07-26 01:09:40.896000000
13.19639,11.04633,2022-07-26 04:42:48.096000000
13.3074,11.33052,2022-07-26 07:22:39.360000000
13.49241,12.18308,2022-07-26 11:49:04.224000000
13.64042,13.31983,2022-07-26 15:22:12.288000000
13.78843,14.45658,2022-07-26 18:55:20.352000000
13.86244,17.01426,2022-07-26 20:41:54.816000000
14.01045,19.28776,2022-07-27 00:15:02.879999999
14.15846,20.14032,2022-07-27 03:48:10.944000000
14.23246,18.15101,2022-07-27 05:34:44.544000000
14.34347,17.58264,2022-07-27 08:14:35.808000000
14.38047,15.59333,2022-07-27 09:07:52.607999999
14.52848,13.8882,2022-07-27 12:41:00.671999999
14.67649,14.17239,2022-07-27 16:14:08.736000000
14.8245,15.02495,2022-07-27 19:47:16.800000000
14.97251,18.15101,2022-07-27 23:20:24.864000000
14.9355,15.87751,2022-07-27 22:27:07.200000000
15.12052,20.14032,2022-07-28 02:53:32.928000000
15.26853,20.14032,2022-07-28 06:26:40.992000000
15.34253,17.86682,2022-07-28 08:13:14.592000000
15.41653,15.59333,2022-07-28 09:59:48.192000000
15.56454,14.74077,2022-07-28 13:32:56.256000000
15.71255,14.74077,2022-07-28 17:06:04.320000000
15.82356,14.17239,2022-07-28 19:45:55.584000000
15.86056,12.46727,2022-07-28 20:39:12.384000000
16.00857,13.60402,2022-07-29 00:12:20.448000000
16.15658,13.60402,2022-07-29 03:45:28.512000000
16.31692,12.08835,2022-07-29 07:36:21.888000000
16.4526,17.29845,2022-07-29 10:51:44.640000000
16.60061,17.29845,2022-07-29 14:24:52.704000000
16.74862,17.86682,2022-07-29 17:58:00.767999999
16.89663,18.15101,2022-07-29 21:31:08.832000000
17.04464,22.69801,2022-07-30 01:04:16.896000000
17.00763,19.85614,2022-07-30 00:10:59.232000000
17.19265,22.69801,2022-07-30 04:37:24.959999999
17.34066,21.56126,2022-07-30 08:10:33.024000000
17.48867,19.57195,2022-07-30 11:43:41.088000000
17.63667,20.42451,2022-07-30 15:16:48.288000000
17.78468,21.84545,2022-07-30 18:49:56.352000000
17.93269,23.83476,2022-07-30 22:23:04.416000000
18.0807,25.82407,2022-07-31 01:56:12.479999999
18.22871,25.82407,2022-07-31 05:29:20.544000000
18.33972,24.40313,2022-07-31 08:09:11.808000000
18.37672,21.56126,2022-07-31 09:02:28.608000000
18.45073,18.15101,2022-07-31 10:49:03.072000000
18.59874,16.73008,2022-07-31 14:22:11.136000000
18.74674,15.59333,2022-07-31 17:55:18.336000000
18.89475,15.87751,2022-07-31 21:28:26.400000000
18.96876,17.86682,2022-07-31 23:15:00.864000000
19.11677,19.00357,2022-08-01 02:48:08.928000000
19.26478,18.15101,2022-08-01 06:21:16.992000000
19.41279,16.1617,2022-08-01 09:54:25.056000000
19.5608,16.1617,2022-08-01 13:27:33.120000000
19.70881,17.29845,2022-08-01 17:00:41.184000000
19.85681,18.4352,2022-08-01 20:33:48.384000000
20.00482,21.27707,2022-08-02 00:06:56.447999999
19.96782,19.28776,2022-08-01 23:13:39.648000000
20.15283,22.12963,2022-08-02 03:40:04.512000000
20.30084,20.42451,2022-08-02 07:13:12.576000000
20.44885,14.74077,2022-08-02 10:46:20.640000000
20.59686,13.8882,2022-08-02 14:19:28.703999999
20.74487,14.45658,2022-08-02 17:52:36.768000000
20.89288,15.59333,2022-08-02 21:25:44.832000000
20.96688,18.15101,2022-08-02 23:12:18.432000000
21.11489,19.28776,2022-08-03 02:45:26.496000000
21.2259,18.71939,2022-08-03 05:25:17.760000000
21.2629,16.73008,2022-08-03 06:18:34.560000000
21.41091,15.59333,2022-08-03 09:51:42.624000000
21.55892,14.74077,2022-08-03 13:24:50.688000000
21.70693,13.8882,2022-08-03 16:57:58.751999999
21.85494,13.60402,2022-08-03 20:31:06.816000000
22.00295,13.60402,2022-08-04 00:04:14.880000000
22.15096,14.45658,2022-08-04 03:37:22.944000000
22.29897,14.45658,2022-08-04 07:10:31.008000000
22.44698,13.31983,2022-08-04 10:43:39.072000000
22.59499,12.75146,2022-08-04 14:16:47.136000000
22.743,13.8882,2022-08-04 17:49:55.200000000
22.89101,15.02495,2022-08-04 21:23:03.264000000
22.96501,17.86682,2022-08-04 23:09:36.864000000
23.03901,20.42451,2022-08-05 00:56:10.464000000
23.18702,21.27707,2022-08-05 04:29:18.528000000
23.29803,19.85614,2022-08-05 07:09:09.792000000
23.33503,17.01426,2022-08-05 08:02:26.592000000
23.40904,14.45658,2022-08-05 09:49:01.056000000
23.55705,13.8882,2022-08-05 13:22:09.120000000
23.70506,14.74077,2022-08-05 16:55:17.184000000
23.85307,15.02495,2022-08-05 20:28:25.248000000
23.92707,17.86682,2022-08-05 22:14:58.848000000
24.00108,22.69801,2022-08-06 00:01:33.312000000
23.96407,19.85614,2022-08-05 23:08:15.648000000
24.14908,23.83476,2022-08-06 03:34:40.512000000
24.26009,23.26638,2022-08-06 06:14:31.776000000
24.29709,21.27707,2022-08-06 07:07:48.576000000
24.3711,18.15101,2022-08-06 08:54:23.040000000
24.4451,15.87751,2022-08-06 10:40:56.640000000
24.59311,15.02495,2022-08-06 14:14:04.704000000
24.74112,14.74077,2022-08-06 17:47:12.768000000
24.88913,16.73008,2022-08-06 21:20:20.832000000
24.85213,14.74077,2022-08-06 20:27:04.032000000
24.96314,19.28776,2022-08-06 23:06:55.296000000
25.03714,22.41382,2022-08-07 00:53:28.896000000
25.18515,23.83476,2022-08-07 04:26:36.960000000
25.25915,29.5185,2022-08-07 06:13:10.560000000
25.22215,26.67663,2022-08-07 05:19:53.760000000
25.40716,34.91806,2022-08-07 09:46:18.624000000
25.37016,32.36037,2022-08-07 08:53:01.824000000
25.37016,30.65525,2022-08-07 08:53:01.824000000
25.48117,39.74924,2022-08-07 11:32:53.088000000
25.44417,36.90737,2022-08-07 10:39:36.288000000
25.55517,51.96929,2022-08-07 13:19:26.688000000
25.51817,49.4116,2022-08-07 12:26:09.888000000
25.51817,47.1381,2022-08-07 12:26:09.888000000
25.51817,44.86461,2022-08-07 12:26:09.888000000
25.51817,42.59111,2022-08-07 12:26:09.888000000
25.62918,67.88377,2022-08-07 15:06:01.152000000
25.59218,65.32608,2022-08-07 14:12:44.352000000
25.59218,63.05259,2022-08-07 14:12:44.352000000
25.59218,60.77909,2022-08-07 14:12:44.352000000
25.59218,58.50559,2022-08-07 14:12:44.352000000
25.59218,56.23209,2022-08-07 14:12:44.352000000
25.59218,53.9586,2022-08-07 14:12:44.352000000
25.70318,81.80894,2022-08-07 16:52:34.752000000
25.66618,78.96707,2022-08-07 15:59:17.952000000
25.66618,76.69357,2022-08-07 15:59:17.952000000
25.66618,74.42007,2022-08-07 15:59:17.952000000
25.66618,72.14658,2022-08-07 15:59:17.952000000
25.66618,69.87308,2022-08-07 15:59:17.952000000
25.77719,92.03968,2022-08-07 18:39:09.216000000
25.74018,89.19781,2022-08-07 17:45:51.551999999
25.74018,86.92431,2022-08-07 17:45:51.551999999
25.74018,84.65081,2022-08-07 17:45:51.551999999
25.85119,97.72342,2022-08-07 20:25:42.816000000
25.81419,94.88155,2022-08-07 19:32:26.016000000
25.9252,105.39648,2022-08-07 22:12:17.280000000
25.88819,102.83879,2022-08-07 21:18:59.616000000
25.88819,100.56529,2022-08-07 21:18:59.616000000
25.9992,112.50116,2022-08-07 23:58:50.880000000
25.9622,109.65928,2022-08-07 23:05:34.080000000
25.9622,107.38579,2022-08-07 23:05:34.080000000
26.07321,120.4584,2022-08-08 01:45:25.344000000
26.0362,117.61652,2022-08-08 00:52:07.680000000
26.0362,115.34303,2022-08-08 00:52:07.680000000
26.14721,123.58446,2022-08-08 03:31:58.944000000
26.23355,128.03672,2022-08-08 05:36:18.720000000
26.18421,125.57377,2022-08-08 04:25:15.744000000
