day_num,value,day
-0.18929,1163.82582,2022-07-12 19:27:25.344000000
-0.0394,1168.97462,2022-07-12 23:03:15.840000000
0.11049,1179.27223,2022-07-13 02:39:06.336000000
0.26038,1188.28264,2022-07-13 06:14:56.832000000
0.41027,1194.71864,2022-07-13 09:50:47.328000000
0.56016,1199.86744,2022-07-13 13:26:37.824000000
0.71006,1203.72904,2022-07-13 17:02:29.184000000
0.85995,1208.87785,2022-07-13 20:38:19.680000000
1.00984,1211.45225,2022-07-14 00:14:10.176000000
1.15973,1216.60105,2022-07-14 03:50:00.672000000
1.30962,1221.74986,2022-07-14 07:25:51.168000000
1.45952,1220.46265,2022-07-14 11:01:42.528000000
1.60941,1214.02665,2022-07-14 14:37:33.024000000
1.7593,1207.59065,2022-07-14 18:13:23.520000000
1.90919,1205.01625,2022-07-14 21:49:14.016000000
2.05908,1205.01625,2022-07-15 01:25:04.512000000
2.20897,1205.01625,2022-07-15 05:00:55.008000000
2.35887,1208.87785,2022-07-15 08:36:46.368000000
2.50876,1211.45225,2022-07-15 12:12:36.864000000
2.65865,1216.60105,2022-07-15 15:48:27.360000000
2.80854,1225.61146,2022-07-15 19:24:17.856000000
2.95843,1229.47306,2022-07-15 23:00:08.352000000
3.10833,1225.61146,2022-07-16 02:35:59.712000000
3.25822,1221.74986,2022-07-16 06:11:50.208000000
3.40811,1216.60105,2022-07-16 09:47:40.704000000
3.558,1215.31385,2022-07-16 13:23:31.200000000
3.70789,1216.60105,2022-07-16 16:59:21.696000000
3.85778,1220.46265,2022-07-16 20:35:12.192000000
4.00768,1224.32426,2022-07-17 00:11:03.552000000
4.15757,1230.76026,2022-07-17 03:46:54.047999999
4.30746,1237.19626,2022-07-17 07:22:44.544000000
4.45735,1250.06827,2022-07-17 10:58:35.040000000
4.41988,1241.05787,2022-07-17 10:04:37.632000000
4.5323,1260.36588,2022-07-17 12:46:30.720000000
4.60724,1271.95068,2022-07-17 14:34:25.536000000
4.75713,1291.2587,2022-07-17 18:10:16.032000000
4.71966,1279.67389,2022-07-17 17:16:18.624000000
4.83208,1302.8435,2022-07-17 19:58:11.712000000
4.98197,1318.28991,2022-07-17 23:34:02.208000000
4.9445,1307.99231,2022-07-17 22:40:04.800000000
5.13186,1328.58752,2022-07-18 03:09:52.704000000
5.28176,1335.02352,2022-07-18 06:45:44.064000000
5.43165,1338.88512,2022-07-18 10:21:34.560000000
5.58154,1355.61873,2022-07-18 13:57:25.055999999
5.73143,1363.34194,2022-07-18 17:33:15.552000000
5.88132,1369.77794,2022-07-18 21:09:06.048000000
6.03122,1374.92674,2022-07-19 00:44:57.408000000
6.18111,1369.77794,2022-07-19 04:20:47.904000000
6.331,1359.48034,2022-07-19 07:56:38.400000000
6.40594,1347.89553,2022-07-19 09:44:33.216000000
6.55584,1342.74673,2022-07-19 13:20:24.576000000
6.70573,1333.73632,2022-07-19 16:56:15.072000000
6.85562,1331.16192,2022-07-19 20:32:05.568000000
7.00551,1327.30032,2022-07-20 00:07:56.064000000
7.1554,1319.57711,2022-07-20 03:43:46.560000000
7.3053,1313.14111,2022-07-20 07:19:37.920000000
7.45519,1302.8435,2022-07-20 10:55:28.416000000
7.60508,1296.4075,2022-07-20 14:31:18.911999999
7.75497,1291.2587,2022-07-20 18:07:09.408000000
7.90486,1287.39709,2022-07-20 21:42:59.904000000
8.05475,1287.39709,2022-07-21 01:18:50.400000000
8.20465,1288.68429,2022-07-21 04:54:41.760000000
8.35454,1292.5459,2022-07-21 08:30:32.256000000
8.50443,1293.8331,2022-07-21 12:06:22.752000000
8.65432,1298.9819,2022-07-21 15:42:13.248000000
8.80421,1307.99231,2022-07-21 19:18:03.744000000
8.95411,1314.42831,2022-07-21 22:53:55.104000000
9.104,1322.15151,2022-07-22 02:29:45.600000000
9.25389,1324.72592,2022-07-22 06:05:36.096000000
9.40378,1328.58752,2022-07-22 09:41:26.591999999
9.55367,1328.58752,2022-07-22 13:17:17.088000000
9.70356,1329.87472,2022-07-22 16:53:07.584000000
9.85346,1333.73632,2022-07-22 20:28:58.944000000
10.00335,1337.59792,2022-07-23 00:04:49.440000000
10.15324,1338.88512,2022-07-23 03:40:39.935999999
10.30313,1335.02352,2022-07-23 07:16:30.432000000
10.45302,1328.58752,2022-07-23 10:52:20.928000000
10.60291,1319.57711,2022-07-23 14:28:11.423999999
10.75281,1317.00271,2022-07-23 18:04:02.784000000
10.9027,1309.27951,2022-07-23 21:39:53.280000000
11.05259,1304.1307,2022-07-24 01:15:43.776000000
11.20248,1297.6947,2022-07-24 04:51:34.272000000
11.35237,1287.39709,2022-07-24 08:27:24.768000000
11.50227,1277.09949,2022-07-24 12:03:16.128000000
11.65216,1268.08908,2022-07-24 15:39:06.624000000
11.80205,1262.94028,2022-07-24 19:14:57.120000000
11.95194,1256.50428,2022-07-24 22:50:47.616000000
12.10183,1250.06827,2022-07-25 02:26:38.112000000
12.25172,1241.05787,2022-07-25 06:02:28.608000000
12.40162,1234.62186,2022-07-25 09:38:19.967999999
12.55151,1226.89866,2022-07-25 13:14:10.463999999
12.7014,1224.32426,2022-07-25 16:50:00.960000000
12.85129,1220.46265,2022-07-25 20:25:51.456000000
13.00118,1216.60105,2022-07-26 00:01:41.952000000
13.1136,1212.73945,2022-07-26 02:43:35.040000000
13.1136,1202.44184,2022-07-26 02:43:35.040000000
13.15108,1193.43144,2022-07-26 03:37:33.312000000
13.26349,1197.29304,2022-07-26 06:19:25.536000000
13.45086,1199.86744,2022-07-26 10:49:14.304000000
13.60075,1199.86744,2022-07-26 14:25:04.800000000
13.75064,1198.58024,2022-07-26 18:00:55.296000000
13.90053,1194.71864,2022-07-26 21:36:45.792000000
14.05043,1194.71864,2022-07-27 01:12:37.152000000
14.20032,1194.71864,2022-07-27 04:48:27.648000000
14.35021,1199.86744,2022-07-27 08:24:18.144000000
14.5001,1206.30345,2022-07-27 12:00:08.640000000
14.61252,1212.73945,2022-07-27 14:42:01.727999999
