day_num,value,day
-0.18209,1.64133,2022-07-12 19:37:47.424000000
-0.10776,1.6306,2022-07-12 21:24:49.536000000
-0.03344,1.66099,2022-07-12 23:11:50.784000000
-0.03344,1.64669,2022-07-12 23:11:50.784000000
0.00373,1.63597,2022-07-13 00:05:22.272000000
0.11521,1.64669,2022-07-13 02:45:54.144000000
0.18954,1.66099,2022-07-13 04:32:56.255999999
0.15238,1.63239,2022-07-13 03:39:25.631999999
0.26387,1.64312,2022-07-13 06:19:58.368000000
0.33819,1.62882,2022-07-13 08:06:59.616000000
0.37535,1.63954,2022-07-13 09:00:30.240000000
0.48684,1.62524,2022-07-13 11:41:02.976000000
0.63549,1.64669,2022-07-13 15:15:06.336000000
0.63549,1.63239,2022-07-13 15:15:06.336000000
0.63549,1.62167,2022-07-13 15:15:06.336000000
0.78414,1.64669,2022-07-13 18:49:09.695999999
0.78414,1.63418,2022-07-13 18:49:09.695999999
0.74698,1.62167,2022-07-13 17:55:39.072000000
0.9328,1.64669,2022-07-13 22:23:13.920000000
0.9328,1.63597,2022-07-13 22:23:13.920000000
1.08145,1.63597,2022-07-14 01:57:17.280000000
1.04428,1.62882,2022-07-14 01:03:45.792000000
1.24249,1.65384,2022-07-14 05:49:11.136000000
1.19293,1.63954,2022-07-14 04:37:49.152000000
1.39114,1.64669,2022-07-14 09:23:14.496000000
1.34159,1.63597,2022-07-14 08:11:53.376000000
1.5274,1.63239,2022-07-14 12:39:27.360000000
1.60173,1.64312,2022-07-14 14:26:29.472000000
1.60173,1.62345,2022-07-14 14:26:29.472000000
1.71321,1.63954,2022-07-14 17:07:01.344000000
1.75038,1.62524,2022-07-14 18:00:32.832000000
1.75038,1.61094,2022-07-14 18:00:32.832000000
1.89903,1.60736,2022-07-14 21:34:36.192000000
1.97335,1.62167,2022-07-14 23:21:37.440000000
2.122,1.61988,2022-07-15 02:55:40.800000000
2.19633,1.61094,2022-07-15 04:42:42.912000000
2.34498,1.60736,2022-07-15 08:16:46.272000000
2.34498,1.59485,2022-07-15 08:16:46.272000000
2.49363,1.59664,2022-07-15 11:50:49.632000000
2.64228,1.61094,2022-07-15 15:24:52.992000000
2.60512,1.60021,2022-07-15 14:31:22.368000000
2.80332,1.62643,2022-07-15 19:16:46.848000000
