day_num,value,day
-0.22075,8.1542,2022-07-12 18:42:07.200000000
-0.22075,8.06315,2022-07-12 18:42:07.200000000
-0.18432,7.98349,2022-07-12 19:34:34.752000000
-0.11146,7.8583,2022-07-12 21:19:29.856000000
-0.07503,7.74449,2022-07-12 22:11:57.408000000
-0.07503,7.65345,2022-07-12 22:11:57.408000000
-0.0386,7.57378,2022-07-12 23:04:24.960000000
0.03426,7.44859,2022-07-13 00:49:20.064000000
0.10712,7.31202,2022-07-13 02:34:15.168000000
0.14355,7.19822,2022-07-13 03:26:42.720000000
0.17998,7.11855,2022-07-13 04:19:10.272000000
0.26498,7.01613,2022-07-13 06:21:34.272000000
0.21641,6.94784,2022-07-13 05:11:37.824000000
0.39856,7.12993,2022-07-13 09:33:55.584000000
0.47142,7.43721,2022-07-13 11:18:50.688000000
0.43499,7.33479,2022-07-13 10:26:23.136000000
0.43499,7.24374,2022-07-13 10:26:23.136000000
0.54428,7.71035,2022-07-13 13:03:45.792000000
0.50785,7.60792,2022-07-13 12:11:18.240000000
0.50785,7.51688,2022-07-13 12:11:18.240000000
0.61715,7.8014,2022-07-13 14:48:41.760000000
0.69001,7.89244,2022-07-13 16:33:36.864000000
0.83573,7.8583,2022-07-13 20:03:27.072000000
0.87216,7.74449,2022-07-13 20:55:54.624000000
0.87216,7.65345,2022-07-13 20:55:54.624000000
0.90859,7.57378,2022-07-13 21:48:22.176000000
0.94502,7.47136,2022-07-13 22:40:49.728000000
0.98145,7.39169,2022-07-13 23:33:17.280000000
1.01788,7.28926,2022-07-14 00:25:44.832000000
1.01788,7.19822,2022-07-14 00:25:44.832000000
1.05431,7.08441,2022-07-14 01:18:12.384000000
1.09074,6.9706,2022-07-14 02:10:39.936000000
1.09074,6.87956,2022-07-14 02:10:39.936000000
1.12717,6.79989,2022-07-14 03:03:07.488000000
1.1636,6.69746,2022-07-14 03:55:35.040000000
1.1636,6.60642,2022-07-14 03:55:35.040000000
1.20003,6.52675,2022-07-14 04:48:02.592000000
1.34575,6.6747,2022-07-14 08:17:52.800000000
1.30932,6.5609,2022-07-14 07:25:25.248000000
1.30932,6.49261,2022-07-14 07:25:25.248000000
1.41861,6.90232,2022-07-14 10:02:47.904000000
1.38218,6.78851,2022-07-14 09:10:20.352000000
1.49148,7.22098,2022-07-14 11:47:43.872000000
1.45504,7.10717,2022-07-14 10:55:15.456000000
1.45504,7.01613,2022-07-14 10:55:15.456000000
1.56434,7.34617,2022-07-14 13:32:38.975999999
1.6372,7.63069,2022-07-14 15:17:34.080000000
1.60077,7.51688,2022-07-14 14:25:06.528000000
1.60077,7.42583,2022-07-14 14:25:06.528000000
1.71006,7.74449,2022-07-14 17:02:29.184000000
1.74649,7.65345,2022-07-14 17:54:56.736000000
1.78292,7.53964,2022-07-14 18:47:24.287999999
1.85578,7.40307,2022-07-14 20:32:19.392000000
1.92864,7.30064,2022-07-14 22:17:14.496000000
1.96507,7.19822,2022-07-14 23:09:42.048000000
1.96507,7.10717,2022-07-14 23:09:42.048000000
2.0015,7.02751,2022-07-15 00:02:09.600000000
2.03793,6.92508,2022-07-15 00:54:37.152000000
2.07436,6.81127,2022-07-15 01:47:04.704000000
2.14722,6.70885,2022-07-15 03:31:59.808000000
2.22008,6.58366,2022-07-15 05:16:54.912000000
2.36581,6.70885,2022-07-15 08:46:45.984000000
2.32938,6.60642,2022-07-15 07:54:18.432000000
2.43867,6.81127,2022-07-15 10:31:41.088000000
2.51153,7.03889,2022-07-15 12:16:36.192000000
2.4751,6.92508,2022-07-15 11:24:08.640000000
2.58439,7.25512,2022-07-15 14:01:31.296000000
2.54796,7.15269,2022-07-15 13:09:03.744000000
2.65725,7.43721,2022-07-15 15:46:26.400000000
2.62082,7.33479,2022-07-15 14:53:58.848000000
2.73011,7.53964,2022-07-15 17:31:21.504000000
2.8394,7.5624,2022-07-15 20:08:44.160000000
2.87583,7.48274,2022-07-15 21:01:11.712000000
2.91226,7.38031,2022-07-15 21:53:39.264000000
2.94869,7.2665,2022-07-15 22:46:06.816000000
3.02155,7.16408,2022-07-16 00:31:01.920000000
3.05798,7.06165,2022-07-16 01:23:29.472000000
3.09441,6.98198,2022-07-16 02:15:57.023999999
3.16727,6.85679,2022-07-16 04:00:52.128000000
3.24014,6.76575,2022-07-16 05:45:48.096000000
3.38586,6.76575,2022-07-16 09:15:38.304000000
3.45872,6.89094,2022-07-16 11:00:33.408000000
3.53158,7.08441,2022-07-16 12:45:28.512000000
3.49515,6.9706,2022-07-16 11:53:00.960000000
3.60444,7.2096,2022-07-16 14:30:23.616000000
3.6773,7.49412,2022-07-16 16:15:18.720000000
3.64087,7.38031,2022-07-16 15:22:51.168000000
3.64087,7.28926,2022-07-16 15:22:51.168000000
3.75016,7.71035,2022-07-16 18:00:13.824000000
3.71373,7.60792,2022-07-16 17:07:46.272000000
3.89588,7.67621,2022-07-16 21:30:04.032000000
3.96874,7.53964,2022-07-16 23:14:59.136000000
4.00517,7.42583,2022-07-17 00:07:26.688000000
4.04161,7.34617,2022-07-17 00:59:55.104000000
4.11447,7.22098,2022-07-17 02:44:50.208000000
4.26019,7.15269,2022-07-17 06:14:40.415999999
4.26019,7.08441,2022-07-17 06:14:40.415999999
4.40591,7.31202,2022-07-17 09:44:30.624000000
4.36948,7.19822,2022-07-17 08:52:03.071999999
4.47877,7.43721,2022-07-17 11:29:25.728000000
4.55163,7.63069,2022-07-17 13:14:20.831999999
4.5152,7.51688,2022-07-17 12:21:53.280000000
4.62449,7.84692,2022-07-17 14:59:15.936000000
4.58806,7.74449,2022-07-17 14:06:48.384000000
4.69735,7.93797,2022-07-17 16:44:11.040000000
4.80664,7.92659,2022-07-17 19:21:33.696000000
4.84307,7.84692,2022-07-17 20:14:01.248000000
4.91594,7.72173,2022-07-17 21:58:57.216000000
4.95237,7.60792,2022-07-17 22:51:24.768000000
4.9888,7.52826,2022-07-17 23:43:52.320000000
5.06166,7.43721,2022-07-18 01:28:47.424000000
5.09809,7.33479,2022-07-18 02:21:14.976000000
5.13452,7.22098,2022-07-18 03:13:42.528000000
5.20738,7.08441,2022-07-18 04:58:37.632000000
5.3531,7.07303,2022-07-18 08:28:27.840000000
5.42596,7.16408,2022-07-18 10:13:22.944000000
5.57168,7.67621,2022-07-18 13:43:13.152000000
5.64454,7.81278,2022-07-18 15:28:08.256000000
5.79027,7.81278,2022-07-18 18:57:59.328000000
5.8267,7.69897,2022-07-18 19:50:26.880000000
5.8267,7.60792,2022-07-18 19:50:26.880000000
5.86313,7.52826,2022-07-18 20:42:54.432000000
5.93599,7.43721,2022-07-18 22:27:49.536000000
5.97242,7.33479,2022-07-18 23:20:17.088000000
6.00885,7.25512,2022-07-19 00:12:44.640000000
6.04528,7.15269,2022-07-19 01:05:12.192000000
6.08171,7.03889,2022-07-19 01:57:39.744000000
6.11814,6.92508,2022-07-19 02:50:07.296000000
6.15457,6.84541,2022-07-19 03:42:34.848000000
6.22743,6.77713,2022-07-19 05:27:29.952000000
6.37315,6.93646,2022-07-19 08:57:20.160000000
6.33672,6.83403,2022-07-19 08:04:52.608000000
6.44601,7.22098,2022-07-19 10:42:15.264000000
6.40958,7.10717,2022-07-19 09:49:47.712000000
6.40958,7.01613,2022-07-19 09:49:47.712000000
6.51887,7.34617,2022-07-19 12:27:10.368000000
6.59173,7.63069,2022-07-19 14:12:05.472000000
6.5553,7.51688,2022-07-19 13:19:37.920000000
6.5553,7.42583,2022-07-19 13:19:37.920000000
6.6646,7.75587,2022-07-19 15:57:01.440000000
6.73746,7.83554,2022-07-19 17:41:56.544000000
6.84675,7.79002,2022-07-19 20:19:19.200000000
6.84675,7.69897,2022-07-19 20:19:19.200000000
6.88318,7.58516,2022-07-19 21:11:46.752000000
6.91961,7.47136,2022-07-19 22:04:14.304000000
6.95604,7.35755,2022-07-19 22:56:41.856000000
6.99247,7.24374,2022-07-19 23:49:09.408000000
6.99247,7.15269,2022-07-19 23:49:09.408000000
6.99247,7.06165,2022-07-19 23:49:09.408000000
7.0289,6.98198,2022-07-20 00:41:36.960000000
7.06533,6.87956,2022-07-20 01:34:04.512000000
7.10176,6.79989,2022-07-20 02:26:32.064000000
7.13819,6.69746,2022-07-20 03:18:59.616000000
7.13819,6.60642,2022-07-20 03:18:59.616000000
7.13819,6.51537,2022-07-20 03:18:59.616000000
7.17462,6.43571,2022-07-20 04:11:27.168000000
7.24748,6.33328,2022-07-20 05:56:22.272000000
7.24748,6.265,2022-07-20 05:56:22.272000000
7.32034,6.44709,2022-07-20 07:41:17.376000000
7.3932,6.58366,2022-07-20 09:26:12.480000000
7.46606,7.08441,2022-07-20 11:11:07.584000000
7.42963,6.9706,2022-07-20 10:18:40.032000000
7.42963,6.87956,2022-07-20 10:18:40.032000000
7.42963,6.78851,2022-07-20 10:18:40.032000000
7.42963,6.69746,2022-07-20 10:18:40.032000000
7.53893,7.57378,2022-07-20 12:56:03.552000000
7.5025,7.47136,2022-07-20 12:03:35.999999999
7.5025,7.38031,2022-07-20 12:03:35.999999999
7.5025,7.28926,2022-07-20 12:03:35.999999999
7.5025,7.19822,2022-07-20 12:03:35.999999999
7.61179,8.04039,2022-07-20 14:40:58.655999999
7.57536,7.92659,2022-07-20 13:48:31.104000000
7.57536,7.83554,2022-07-20 13:48:31.104000000
7.57536,7.74449,2022-07-20 13:48:31.104000000
7.57536,7.65345,2022-07-20 13:48:31.104000000
7.68465,8.1542,2022-07-20 16:25:53.760000000
7.75751,8.07454,2022-07-20 18:10:48.864000000
7.83037,7.98349,2022-07-20 19:55:43.968000000
7.8668,7.88106,2022-07-20 20:48:11.520000000
