day_num,value,day
-0.23077,7.95419,2022-07-12 18:27:41.472000000
-0.19359,7.93667,2022-07-12 19:21:13.824000000
-0.08206,7.92416,2022-07-12 22:01:50.016000001
-0.04488,7.89913,2022-07-12 22:55:22.368000000
0.06665,7.88412,2022-07-13 01:35:58.560000000
0.10382,7.8666,2022-07-13 02:29:30.048000000
0.17818,7.83908,2022-07-13 04:16:34.752000000
0.25253,7.81405,2022-07-13 06:03:38.591999999
0.40124,7.83657,2022-07-13 09:37:47.136000000
0.36407,7.81906,2022-07-13 08:44:15.648000000
0.4756,7.85909,2022-07-13 11:24:51.840000000
0.54995,7.88662,2022-07-13 13:11:55.680000000
0.62431,7.90664,2022-07-13 14:59:00.384000000
0.69866,7.92916,2022-07-13 16:46:04.223999999
0.84737,7.94418,2022-07-13 20:20:12.768000000
0.92173,7.91915,2022-07-13 22:07:17.472000000
0.95891,7.89413,2022-07-13 23:00:49.824000000
0.99608,7.87661,2022-07-13 23:54:21.312000000
1.03326,7.85409,2022-07-14 00:47:53.664000000
1.07044,7.83657,2022-07-14 01:41:26.016000000
1.14479,7.81655,2022-07-14 03:28:29.856000000
1.21915,7.78903,2022-07-14 05:15:34.560000000
1.36786,7.79904,2022-07-14 08:49:43.104000000
1.33068,7.77902,2022-07-14 07:56:10.751999999
1.44221,7.82656,2022-07-14 10:36:46.944000000
1.51657,7.84909,2022-07-14 12:23:51.648000000
1.59092,7.87911,2022-07-14 14:10:55.488000000
1.66528,7.90914,2022-07-14 15:58:00.192000000
1.77681,7.91415,2022-07-14 18:38:36.384000000
1.81399,7.89913,2022-07-14 19:32:08.736000000
1.9627,7.88912,2022-07-14 23:06:17.280000000
2.03705,7.85909,2022-07-15 00:53:21.120000000
2.11141,7.82907,2022-07-15 02:40:25.824000000
2.18576,7.80905,2022-07-15 04:27:29.664000000
2.33447,7.81155,2022-07-15 08:01:38.208000000
2.48318,7.84909,2022-07-15 11:35:46.752000000
2.446,7.82406,2022-07-15 10:42:14.400000000
2.63189,7.88912,2022-07-15 15:09:55.295999999
2.59471,7.8641,2022-07-15 14:16:22.944000000
2.70624,7.91665,2022-07-15 16:56:59.136000000
2.7806,7.93417,2022-07-15 18:44:03.840000000
2.92931,7.91915,2022-07-15 22:18:12.384000000
3.00366,7.88912,2022-07-16 00:05:16.224000000
3.07802,7.85909,2022-07-16 01:52:20.928000000
3.15237,7.83657,2022-07-16 03:39:24.768000000
3.22673,7.81906,2022-07-16 05:26:29.472000000
3.37544,7.81906,2022-07-16 09:00:38.016000000
3.52415,7.84909,2022-07-16 12:34:46.560000000
3.48697,7.82907,2022-07-16 11:41:14.208000000
3.67286,7.89663,2022-07-16 16:08:55.104000000
3.63568,7.87411,2022-07-16 15:15:22.752000000
3.63568,7.85909,2022-07-16 15:15:22.752000000
3.74721,7.93917,2022-07-16 17:55:58.944000000
3.71003,7.91415,2022-07-16 17:02:26.592000000
3.89592,7.93917,2022-07-16 21:30:07.488000000
4.00745,7.92416,2022-07-17 00:10:43.680000000
4.04463,7.89913,2022-07-17 01:04:16.032000000
4.11899,7.87661,2022-07-17 02:51:20.736000000
4.19334,7.85659,2022-07-17 04:38:24.576000000
4.34205,7.84909,2022-07-17 08:12:33.120000000
4.41641,7.8666,2022-07-17 09:59:37.824000000
4.49076,7.88662,2022-07-17 11:46:41.664000000
4.56512,7.90664,2022-07-17 13:33:46.368000000
4.63947,7.92916,2022-07-17 15:20:50.208000000
4.78818,7.93667,2022-07-17 18:54:58.752000000
4.93689,7.91915,2022-07-17 22:29:07.296000000
5.04842,7.90414,2022-07-18 01:09:43.488000000
5.0856,7.87911,2022-07-18 02:03:15.840000000
5.15995,7.84909,2022-07-18 03:50:19.680000000
5.23431,7.82907,2022-07-18 05:37:24.384000000
5.38302,7.82907,2022-07-18 09:11:32.928000000
5.53173,7.8691,2022-07-18 12:45:41.472000000
5.60608,7.88662,2022-07-18 14:32:45.311999999
5.68044,7.90664,2022-07-18 16:19:50.016000000
5.79197,7.90414,2022-07-18 19:00:26.207999999
5.82915,7.88662,2022-07-18 19:53:58.560000000
5.9035,7.8666,2022-07-18 21:41:02.400000000
5.97786,7.84658,2022-07-18 23:28:07.104000000
6.05221,7.81906,2022-07-19 01:15:10.944000000
6.16374,7.80404,2022-07-19 03:55:47.136000000
6.20092,7.78903,2022-07-19 04:49:19.487999999
6.34963,7.79904,2022-07-19 08:23:28.032000000
6.49834,7.83657,2022-07-19 11:57:36.576000000
6.46116,7.81405,2022-07-19 11:04:04.224000000
6.5727,7.85659,2022-07-19 13:44:41.280000000
6.64705,7.87911,2022-07-19 15:31:45.120000000
6.72141,7.90664,2022-07-19 17:18:49.824000000
6.87012,7.89913,2022-07-19 20:52:58.368000000
6.94447,7.8691,2022-07-19 22:40:02.208000000
6.98165,7.84408,2022-07-19 23:33:34.560000000
7.01882,7.82656,2022-07-20 00:27:06.048000000
7.056,7.80404,2022-07-20 01:20:38.400000000
7.09318,7.78653,2022-07-20 02:14:10.752000000
7.20471,7.77401,2022-07-20 04:54:46.944000000
7.24189,7.75399,2022-07-20 05:48:19.296000000
7.3906,7.79653,2022-07-20 09:22:27.840000000
7.35342,7.77401,2022-07-20 08:28:55.488000000
7.35342,7.759,2022-07-20 08:28:55.488000000
7.46495,7.81906,2022-07-20 11:09:31.680000000
7.53931,7.88912,2022-07-20 12:56:36.384000000
7.50213,7.8641,2022-07-20 12:03:04.032000000
7.50213,7.84408,2022-07-20 12:03:04.032000000
7.61366,7.95669,2022-07-20 14:43:40.224000000
7.57649,7.93417,2022-07-20 13:50:08.735999999
7.57649,7.91415,2022-07-20 13:50:08.735999999
7.68802,7.99923,2022-07-20 16:30:44.928000000
7.65084,7.9742,2022-07-20 15:37:12.576000000
7.83673,8.00674,2022-07-20 20:04:53.472000000
7.87391,7.98421,2022-07-20 20:58:25.824000000
7.91108,7.9667,2022-07-20 21:51:57.312000000
7.94826,7.94418,2022-07-20 22:45:29.664000000
7.94826,7.92416,2022-07-20 22:45:29.664000000
7.98544,7.89913,2022-07-20 23:39:02.016000000
8.02262,7.87411,2022-07-21 00:32:34.368000000
8.02262,7.85409,2022-07-21 00:32:34.368000000
8.05979,7.83657,2022-07-21 01:26:05.856000000
8.09697,7.81405,2022-07-21 02:19:38.208000000
8.13415,7.78903,2022-07-21 03:13:10.560000000
8.2085,7.76651,2022-07-21 05:00:14.400000000
8.35721,7.78653,2022-07-21 08:34:22.944000000
8.32003,7.764,2022-07-21 07:40:50.592000000
8.43157,7.84909,2022-07-21 10:21:27.648000000
8.39439,7.82406,2022-07-21 09:27:55.296000000
8.39439,7.80404,2022-07-21 09:27:55.296000000
8.46874,7.87411,2022-07-21 11:14:59.136000000
8.58028,7.96169,2022-07-21 13:55:36.192000000
8.65463,8.00674,2022-07-21 15:42:40.032000000
8.61745,7.98421,2022-07-21 14:49:07.680000000
8.72899,8.01925,2022-07-21 17:29:44.736000000
8.76616,7.99422,2022-07-21 18:23:16.223999999
8.76616,7.9742,2022-07-21 18:23:16.223999999
8.80334,7.95669,2022-07-21 19:16:48.576000000
8.84052,7.93417,2022-07-21 20:10:20.928000000
8.8777,7.91665,2022-07-21 21:03:53.280000000
8.95205,7.88912,2022-07-21 22:50:57.120000000
8.98923,7.8641,2022-07-21 23:44:29.472000000
9.02641,7.84658,2022-07-22 00:38:01.824000000
9.06358,7.82406,2022-07-22 01:31:33.312000000
9.10076,7.80654,2022-07-22 02:25:05.664000000
9.13794,7.78402,2022-07-22 03:18:38.016000000
9.17512,7.76651,2022-07-22 04:12:10.368000000
9.32383,7.759,2022-07-22 07:46:18.912000000
9.39818,7.78653,2022-07-22 09:33:22.752000000
9.47253,7.84909,2022-07-22 11:20:26.592000000
9.43536,7.82406,2022-07-22 10:26:55.104000000
9.43536,7.80404,2022-07-22 10:26:55.104000000
9.54689,7.89663,2022-07-22 13:07:31.296000000
9.50971,7.87411,2022-07-22 12:13:58.944000000
9.62124,7.91665,2022-07-22 14:54:35.136000000
9.6956,7.95669,2022-07-22 16:41:39.840000000
9.65842,7.93417,2022-07-22 15:48:07.488000000
9.76995,7.9742,2022-07-22 18:28:43.680000000
9.84431,7.95669,2022-07-22 20:15:48.384000000
9.88149,7.93417,2022-07-22 21:09:20.736000000
9.91866,7.91665,2022-07-22 22:02:52.224000000
9.99302,7.89663,2022-07-22 23:49:56.928000000
10.0302,7.87411,2022-07-23 00:43:29.280000000
10.0302,7.85409,2022-07-23 00:43:29.280000000
10.06737,7.83657,2022-07-23 01:37:00.768000000
10.10455,7.81405,2022-07-23 02:30:33.120000000
10.14173,7.79653,2022-07-23 03:24:05.472000000
