day_num,value,day
-0.31168,8.35505,2022-07-12 16:31:10.848000000
-0.2744,8.10512,2022-07-12 17:24:51.840000001
-0.2744,7.90517,2022-07-12 17:24:51.840000001
-0.2744,7.70523,2022-07-12 17:24:51.840000001
-0.2744,7.50528,2022-07-12 17:24:51.840000001
-0.2744,7.33033,2022-07-12 17:24:51.840000001
-0.12528,8.10512,2022-07-12 20:59:35.808000000
-0.16256,7.90517,2022-07-12 20:05:54.816000000
-0.05072,9.80465,2022-07-12 22:46:57.792000000
-0.088,9.55472,2022-07-12 21:53:16.800000000
-0.088,9.35477,2022-07-12 21:53:16.800000000
-0.088,9.15483,2022-07-12 21:53:16.800000000
-0.088,8.95488,2022-07-12 21:53:16.800000000
-0.088,8.75494,2022-07-12 21:53:16.800000000
-0.088,8.55499,2022-07-12 21:53:16.800000000
-0.088,8.35505,2022-07-12 21:53:16.800000000
0.02384,10.05458,2022-07-13 00:34:19.776000000
0.0984,9.85463,2022-07-13 02:21:41.760000000
0.0984,9.67968,2022-07-13 02:21:41.760000000
0.06112,9.45474,2022-07-13 01:28:00.768000000
0.13568,10.45447,2022-07-13 03:15:22.752000000
0.13568,10.25452,2022-07-13 03:15:22.752000000
0.13568,10.05458,2022-07-13 03:15:22.752000000
0.21024,9.75466,2022-07-13 05:02:44.736000000
0.24753,9.50473,2022-07-13 05:56:26.592000000
0.33451,9.28812,2022-07-13 08:01:41.663999999
0.43393,9.15483,2022-07-13 10:24:51.552000000
0.43393,8.95488,2022-07-13 10:24:51.552000000
0.47121,8.70495,2022-07-13 11:18:32.544000000
0.54577,8.45502,2022-07-13 13:05:54.528000000
0.54577,8.28007,2022-07-13 13:05:54.528000000
0.69489,8.67996,2022-07-13 16:40:38.496000000
0.65761,8.45502,2022-07-13 15:46:57.504000000
0.65761,8.25508,2022-07-13 15:46:57.504000000
0.65761,8.10512,2022-07-13 15:46:57.504000000
0.76945,8.8799,2022-07-13 18:28:00.480000000
0.84401,9.85463,2022-07-13 20:15:22.464000000
0.84401,9.65469,2022-07-13 20:15:22.464000000
0.80673,9.45474,2022-07-13 19:21:41.471999999
0.80673,9.2548,2022-07-13 19:21:41.471999999
0.80673,9.05485,2022-07-13 19:21:41.471999999
0.99313,9.75466,2022-07-13 23:50:06.432000000
0.95585,9.6047,2022-07-13 22:56:25.440000000
1.14225,9.65469,2022-07-14 03:24:50.399999999
1.14225,9.45474,2022-07-14 03:24:50.399999999
1.14225,9.30479,2022-07-14 03:24:50.399999999
1.21681,9.85463,2022-07-14 05:12:12.384000000
1.29137,9.6047,2022-07-14 06:59:34.368000000
1.36593,9.37976,2022-07-14 08:46:56.352000000
1.47778,9.2548,2022-07-14 11:28:00.192000000
1.51506,9.00487,2022-07-14 12:21:41.184000000
1.58962,8.70495,2022-07-14 14:09:03.168000000
1.70146,8.65497,2022-07-14 16:50:06.144000000
1.70146,8.45502,2022-07-14 16:50:06.144000000
1.70146,8.25508,2022-07-14 16:50:06.144000000
1.70146,8.05513,2022-07-14 16:50:06.144000000
1.70146,7.85519,2022-07-14 16:50:06.144000000
1.70146,7.65524,2022-07-14 16:50:06.144000000
1.70146,7.4553,2022-07-14 16:50:06.144000000
1.73874,7.25535,2022-07-14 17:43:47.135999999
1.73874,7.10539,2022-07-14 17:43:47.135999999
1.88786,8.80492,2022-07-14 21:18:31.104000000
1.85058,8.55499,2022-07-14 20:24:50.112000000
1.85058,8.35505,2022-07-14 20:24:50.112000000
1.85058,8.1551,2022-07-14 20:24:50.112000000
1.85058,7.95516,2022-07-14 20:24:50.112000000
1.85058,7.75521,2022-07-14 20:24:50.112000000
1.85058,7.55527,2022-07-14 20:24:50.112000000
1.85058,7.35532,2022-07-14 20:24:50.112000000
1.97485,9.85463,2022-07-14 23:23:47.040000000
1.92514,9.65469,2022-07-14 22:12:12.096000000
1.92514,9.45474,2022-07-14 22:12:12.096000000
1.92514,9.2548,2022-07-14 22:12:12.096000000
1.92514,9.05485,2022-07-14 22:12:12.096000000
2.11154,9.6047,2022-07-15 02:40:37.056000000
2.07426,9.45474,2022-07-15 01:46:56.064000000
2.22338,9.55472,2022-07-15 05:21:40.032000000
2.22338,9.35477,2022-07-15 05:21:40.032000000
2.26066,9.17982,2022-07-15 06:15:21.024000000
2.29794,8.95488,2022-07-15 07:09:02.016000000
2.33522,8.77993,2022-07-15 08:02:43.008000000
2.40978,8.50501,2022-07-15 09:50:04.992000000
2.3725,8.40503,2022-07-15 08:56:24.000000000
2.52162,8.65497,2022-07-15 12:31:07.968000000
2.55891,8.40503,2022-07-15 13:24:49.824000000
2.52162,8.30506,2022-07-15 12:31:07.968000000
2.70803,8.80492,2022-07-15 16:59:33.792000000
2.67075,8.55499,2022-07-15 16:05:52.800000000
2.67075,8.40503,2022-07-15 16:05:52.800000000
2.79501,9.07152,2022-07-15 19:04:48.864000000
2.85715,9.40476,2022-07-15 20:34:17.760000000
2.94414,9.67135,2022-07-15 22:39:33.696000000
3.00627,9.95461,2022-07-16 00:09:01.728000000
3.08083,9.75466,2022-07-16 01:56:23.712000000
3.08083,9.55472,2022-07-16 01:56:23.712000000
3.22995,9.77965,2022-07-16 05:31:07.680000000
3.30451,9.50473,2022-07-16 07:18:29.664000000
3.34179,9.2548,2022-07-16 08:12:10.656000000
3.37907,9.00487,2022-07-16 09:05:51.648000000
3.45363,8.75494,2022-07-16 10:53:13.632000000
3.45363,8.60498,2022-07-16 10:53:13.632000000
3.60275,8.75494,2022-07-16 14:27:57.600000000
3.67731,9.55472,2022-07-16 16:15:19.584000000
3.67731,9.35477,2022-07-16 16:15:19.584000000
3.67731,9.17982,2022-07-16 16:15:19.584000000
3.64003,8.95488,2022-07-16 15:21:38.592000000
3.7146,9.95461,2022-07-16 17:09:01.440000000
3.7146,9.75466,2022-07-16 17:09:01.440000000
3.83886,9.17149,2022-07-16 20:07:57.504000000
3.78916,8.95488,2022-07-16 18:56:23.424000000
3.97556,9.75466,2022-07-16 23:24:48.384000000
3.97556,9.55472,2022-07-16 23:24:48.384000000
3.93828,9.35477,2022-07-16 22:31:07.392000000
4.12468,9.55472,2022-07-17 02:59:32.352000000
4.12468,9.37976,2022-07-17 02:59:32.352000000
