day_num,value,day
-0.2069,21.40405,2022-07-12 19:02:03.840000000
-0.13398,21.27901,2022-07-12 20:47:04.128000001
-0.09752,21.16534,2022-07-12 21:39:34.272000000
-0.06106,21.05166,2022-07-12 22:32:04.416000000
-0.0246,20.93799,2022-07-12 23:24:34.560000000
0.01186,20.85841,2022-07-13 00:17:04.704000000
0.08477,20.76747,2022-07-13 02:02:04.128000000
0.12123,20.66517,2022-07-13 02:54:34.272000000
0.15769,20.5856,2022-07-13 03:47:04.416000000
0.24276,20.49087,2022-07-13 05:49:34.464000000
0.37644,20.6879,2022-07-13 09:02:04.416000000
0.33998,20.57423,2022-07-13 08:09:34.272000000
0.44936,21.09713,2022-07-13 10:47:04.704000000
0.4129,20.98346,2022-07-13 09:54:34.560000000
0.4129,20.89252,2022-07-13 09:54:34.560000000
0.4129,20.80158,2022-07-13 09:54:34.560000000
0.52228,21.76781,2022-07-13 12:32:04.992000000
0.48582,21.66551,2022-07-13 11:39:34.848000000
0.48582,21.57457,2022-07-13 11:39:34.848000000
0.48582,21.48363,2022-07-13 11:39:34.848000000
0.48582,21.39269,2022-07-13 11:39:34.848000000
0.48582,21.30175,2022-07-13 11:39:34.848000000
0.48582,21.21081,2022-07-13 11:39:34.848000000
0.59519,22.22251,2022-07-13 14:17:04.416000000
0.55874,22.12021,2022-07-13 13:24:35.136000000
0.55874,22.02927,2022-07-13 13:24:35.136000000
0.55874,21.93833,2022-07-13 13:24:35.136000000
0.55874,21.84739,2022-07-13 13:24:35.136000000
0.66811,22.31345,2022-07-13 16:02:04.704000000
0.74103,22.40439,2022-07-13 17:47:04.992000000
0.88686,22.37029,2022-07-13 21:17:04.704000000
0.95978,22.26798,2022-07-13 23:02:04.992000000
0.99624,22.16568,2022-07-13 23:54:35.136000000
1.0327,22.052,2022-07-14 00:47:05.280000000
1.10561,21.91559,2022-07-14 02:32:04.704000000
1.14207,21.80192,2022-07-14 03:24:34.848000000
1.17853,21.68824,2022-07-14 04:17:04.992000000
1.25145,21.55183,2022-07-14 06:02:05.280000000
1.39728,21.77918,2022-07-14 09:32:04.992000000
1.36082,21.66551,2022-07-14 08:39:34.847999999
1.36082,21.57457,2022-07-14 08:39:34.847999999
1.36082,21.50636,2022-07-14 08:39:34.847999999
1.4702,22.37029,2022-07-14 11:17:05.280000000
1.43374,22.25662,2022-07-14 10:24:35.136000000
1.43374,22.16568,2022-07-14 10:24:35.136000000
1.43374,22.07474,2022-07-14 10:24:35.136000000
1.43374,21.9838,2022-07-14 10:24:35.136000000
1.43374,21.89286,2022-07-14 10:24:35.136000000
1.54312,22.67721,2022-07-14 13:02:05.568000000
1.50666,22.57491,2022-07-14 12:09:35.424000000
1.50666,22.48397,2022-07-14 12:09:35.424000000
1.61603,23.22285,2022-07-14 14:47:04.992000000
1.57958,23.12054,2022-07-14 13:54:35.712000000
1.57958,23.0296,2022-07-14 13:54:35.712000000
1.57958,22.93866,2022-07-14 13:54:35.712000000
1.57958,22.84772,2022-07-14 13:54:35.712000000
1.57958,22.75679,2022-07-14 13:54:35.712000000
1.68895,23.4843,2022-07-14 16:32:05.279999999
1.68895,23.39336,2022-07-14 16:32:05.279999999
1.65249,23.30242,2022-07-14 15:39:35.136000000
1.79833,23.34789,2022-07-14 19:09:35.712000000
1.79833,23.25695,2022-07-14 19:09:35.712000000
1.83479,23.14328,2022-07-14 20:02:05.856000000
1.87125,23.0296,2022-07-14 20:54:36.000000000
1.87125,22.93866,2022-07-14 20:54:36.000000000
1.87125,22.84772,2022-07-14 20:54:36.000000000
1.9077,22.76815,2022-07-14 21:47:05.280000000
1.94416,22.66585,2022-07-14 22:39:35.424000000
1.94416,22.57491,2022-07-14 22:39:35.424000000
1.98062,22.46123,2022-07-14 23:32:05.568000000
2.01708,22.34756,2022-07-15 00:24:35.712000000
2.01708,22.25662,2022-07-15 00:24:35.712000000
2.01708,22.16568,2022-07-15 00:24:35.712000000
2.01708,22.07474,2022-07-15 00:24:35.712000000
2.05354,21.99516,2022-07-15 01:17:05.856000000
2.09,21.89286,2022-07-15 02:09:36.000000000
2.12646,21.81328,2022-07-15 03:02:06.144000000
2.16291,21.71098,2022-07-15 03:54:35.424000000
2.16291,21.62004,2022-07-15 03:54:35.424000000
2.16291,21.5291,2022-07-15 03:54:35.424000000
2.19937,21.41542,2022-07-15 04:47:05.568000000
2.23583,21.30175,2022-07-15 05:39:35.712000000
2.23583,21.21081,2022-07-15 05:39:35.712000000
2.27229,21.13123,2022-07-15 06:32:05.855999999
2.41812,21.1085,2022-07-15 10:02:05.568000000
2.49104,21.22217,2022-07-15 11:47:05.856000000
2.56396,21.40405,2022-07-15 13:32:06.144000000
2.5275,21.30175,2022-07-15 12:39:36.000000000
2.63688,21.49499,2022-07-15 15:17:06.432000000
2.74625,21.48363,2022-07-15 17:54:36.000000000
2.78271,21.40405,2022-07-15 18:47:06.144000000
2.81917,21.30175,2022-07-15 19:39:36.288000000
2.85563,21.18807,2022-07-15 20:32:06.432000000
2.89209,21.0744,2022-07-15 21:24:36.576000000
2.92854,20.96072,2022-07-15 22:17:05.856000000
2.965,20.84705,2022-07-15 23:09:36.000000000
3.00146,20.76747,2022-07-16 00:02:06.144000000
3.03792,20.66517,2022-07-16 00:54:36.288000000
3.07438,20.55149,2022-07-16 01:47:06.432000000
3.11084,20.43782,2022-07-16 02:39:36.576000000
3.1473,20.35825,2022-07-16 03:32:06.719999999
3.18375,20.25594,2022-07-16 04:24:36.000000000
3.22021,20.17637,2022-07-16 05:17:06.144000000
3.29313,20.08543,2022-07-16 07:02:06.432000000
3.3782,19.98312,2022-07-16 09:04:36.480000000
3.51188,20.5856,2022-07-16 12:17:06.432000000
3.47542,20.48329,2022-07-16 11:24:36.288000000
3.47542,20.39235,2022-07-16 11:24:36.288000000
3.47542,20.30141,2022-07-16 11:24:36.288000000
3.47542,20.21047,2022-07-16 11:24:36.288000000
3.47542,20.11953,2022-07-16 11:24:36.288000000
3.47542,20.05132,2022-07-16 11:24:36.288000000
3.5848,20.77884,2022-07-16 14:02:06.720000000
3.54834,20.66517,2022-07-16 13:09:36.576000000
3.65772,20.98346,2022-07-16 15:47:07.008000000
3.65772,20.90388,2022-07-16 15:47:07.008000000
3.76709,20.89252,2022-07-16 18:24:36.576000000
3.76709,20.80158,2022-07-16 18:24:36.576000000
3.76709,20.71064,2022-07-16 18:24:36.576000000
3.80355,20.59696,2022-07-16 19:17:06.720000000
3.84001,20.48329,2022-07-16 20:09:36.864000000
3.87647,20.40372,2022-07-16 21:02:07.008000000
3.91293,20.30141,2022-07-16 21:54:37.152000000
3.91293,20.21047,2022-07-16 21:54:37.152000000
3.91293,20.11953,2022-07-16 21:54:37.152000000
3.94939,20.03996,2022-07-16 22:47:07.296000000
3.98584,19.93765,2022-07-16 23:39:36.576000000
4.0223,19.82397,2022-07-17 00:32:06.720000000
4.05876,19.7103,2022-07-17 01:24:36.864000000
4.05876,19.61936,2022-07-17 01:24:36.864000000
4.09522,19.53979,2022-07-17 02:17:07.008000000
4.16814,19.41474,2022-07-17 04:02:07.296000000
4.2046,19.30107,2022-07-17 04:54:37.440000000
4.24105,19.18739,2022-07-17 05:47:06.720000000
4.38689,19.35791,2022-07-17 09:17:07.296000000
4.35043,19.2556,2022-07-17 08:24:37.152000000
4.35043,19.18739,2022-07-17 08:24:37.152000000
4.45981,19.46021,2022-07-17 11:02:07.584000000
4.53272,19.86944,2022-07-17 12:47:07.008000000
4.49626,19.75577,2022-07-17 11:54:36.864000000
4.49626,19.66483,2022-07-17 11:54:36.864000000
4.49626,19.57389,2022-07-17 11:54:36.864000000
4.60564,20.46055,2022-07-17 14:32:07.296000000
4.56918,20.34688,2022-07-17 13:39:37.152000000
4.56918,20.25594,2022-07-17 13:39:37.152000000
4.56918,20.165,2022-07-17 13:39:37.152000000
4.56918,20.07406,2022-07-17 13:39:37.152000000
4.56918,19.98312,2022-07-17 13:39:37.152000000
4.67856,20.86978,2022-07-17 16:17:07.584000000
4.6421,20.75611,2022-07-17 15:24:37.440000000
4.6421,20.66517,2022-07-17 15:24:37.440000000
4.6421,20.57423,2022-07-17 15:24:37.440000000
4.75147,20.98346,2022-07-17 18:02:07.008000000
4.82439,20.90388,2022-07-17 19:47:07.296000000
4.86085,20.80158,2022-07-17 20:39:37.440000000
4.89731,20.722,2022-07-17 21:32:07.584000000
4.93377,20.6197,2022-07-17 22:24:37.728000000
4.97023,20.50602,2022-07-17 23:17:07.872000000
5.04314,20.40372,2022-07-18 01:02:07.296000000
5.0796,20.30141,2022-07-18 01:54:37.440000000
5.11606,20.18773,2022-07-18 02:47:07.584000000
5.15252,20.07406,2022-07-18 03:39:37.728000000
5.18898,19.99449,2022-07-18 04:32:07.872000000
5.26189,19.92628,2022-07-18 06:17:07.296000000
5.40773,20.35825,2022-07-18 09:47:07.872000000
5.37127,20.25594,2022-07-18 08:54:37.728000000
5.37127,20.165,2022-07-18 08:54:37.728000000
5.37127,20.07406,2022-07-18 08:54:37.728000000
5.37127,19.98312,2022-07-18 08:54:37.728000000
5.55356,21.82465,2022-07-18 13:17:07.584000000
5.5171,21.71098,2022-07-18 12:24:37.440000000
5.5171,21.62004,2022-07-18 12:24:37.440000000
5.5171,21.5291,2022-07-18 12:24:37.440000000
5.5171,21.46089,2022-07-18 12:24:37.440000000
5.62648,22.04063,2022-07-18 15:02:07.872000000
5.59002,21.93833,2022-07-18 14:09:37.728000000
5.6994,22.49533,2022-07-18 16:47:08.160000000
5.66294,22.39303,2022-07-18 15:54:38.016000000
